,date,time,company_announcement,company,type
572,13.12.19,22:04:58,(Historic) Melvin Capital Management LP holds a short position at 2.77 % in shares issued by Pandora A/S,Pandora A/S,Shortselling (0)
573,13.12.19,10:34:52,D1 Capital Partners LP holds a short position at 1.12 % in shares issued by Vestas Wind Systems A/S,Vestas Wind Systems A/S,Shortselling (0)
574,13.12.19,08:32:18,DNB Asset Management AS holds a short position at 1.33 % in shares issued by Netcompany Group,Netcompany Group,Shortselling (0)
575,12.12.19,22:16:27,(Historic) Melvin Capital Management LP holds a short position at 2.86 % in shares issued by Pandora A/S,Pandora A/S,Shortselling (0)
576,12.12.19,11:08:46,Citadel Advisors LLC holds a short position at 0.58 % in shares issued by Jyske Bank A/S,Jyske Bank A/S,Shortselling (0)
577,11.12.19,21:45:58,(Historic) Melvin Capital Management LP holds a short position at 2.93 % in shares issued by Pandora A/S,Pandora A/S,Shortselling (0)
578,11.12.19,13:28:59,(Historic) WorldQuant LLC holds a short position at 0.61 % in shares issued by Zealand Pharma A/S,Zealand Pharma A/S,Shortselling (0)
579,11.12.19,12:35:49,Marshall Wace LLP  holds a short position at 0.69 % in shares issued by Novozymes A/S,Novozymes A/S,Shortselling (0)
580,16.12.19,13:57:22,Marshall Wace LLP  holds a short position at 1.36 % in shares issued by Pandora A/S,Pandora A/S,Shortselling (0)
581,16.12.19,13:53:36,Marshall Wace LLP  holds a short position at 0.78 % in shares issued by ISS A/S,ISS A/S,Shortselling (0)
582,13.12.19,22:04:58,(Historic) Melvin Capital Management LP holds a short position at 2.77 % in shares issued by Pandora A/S,Pandora A/S,Shortselling (0)
583,13.12.19,10:34:52,D1 Capital Partners LP holds a short position at 1.12 % in shares issued by Vestas Wind Systems A/S,Vestas Wind Systems A/S,Shortselling (0)
584,13.12.19,08:32:18,DNB Asset Management AS holds a short position at 1.33 % in shares issued by Netcompany Group,Netcompany Group,Shortselling (0)
585,12.12.19,22:16:27,(Historic) Melvin Capital Management LP holds a short position at 2.86 % in shares issued by Pandora A/S,Pandora A/S,Shortselling (0)
586,12.12.19,11:08:46,Citadel Advisors LLC holds a short position at 0.58 % in shares issued by Jyske Bank A/S,Jyske Bank A/S,Shortselling (0)
587,11.12.19,21:45:58,(Historic) Melvin Capital Management LP holds a short position at 2.93 % in shares issued by Pandora A/S,Pandora A/S,Shortselling (0)
588,11.12.19,13:28:59,(Historic) WorldQuant LLC holds a short position at 0.61 % in shares issued by Zealand Pharma A/S,Zealand Pharma A/S,Shortselling (0)
589,11.12.19,12:35:49,Marshall Wace LLP  holds a short position at 0.69 % in shares issued by Novozymes A/S,Novozymes A/S,Shortselling (0)
590,16.12.19,13:57:22,Marshall Wace LLP  holds a short position at 1.36 % in shares issued by Pandora A/S,Pandora A/S,Shortselling (0)
591,16.12.19,13:53:36,Marshall Wace LLP  holds a short position at 0.78 % in shares issued by ISS A/S,ISS A/S,Shortselling (0)
592,13.12.19,22:04:58,(Historic) Melvin Capital Management LP holds a short position at 2.77 % in shares issued by Pandora A/S,Pandora A/S,Shortselling (0)
593,13.12.19,10:34:52,D1 Capital Partners LP holds a short position at 1.12 % in shares issued by Vestas Wind Systems A/S,Vestas Wind Systems A/S,Shortselling (0)
594,13.12.19,08:32:18,DNB Asset Management AS holds a short position at 1.33 % in shares issued by Netcompany Group,Netcompany Group,Shortselling (0)
595,12.12.19,22:16:27,(Historic) Melvin Capital Management LP holds a short position at 2.86 % in shares issued by Pandora A/S,Pandora A/S,Shortselling (0)
596,12.12.19,11:08:46,Citadel Advisors LLC holds a short position at 0.58 % in shares issued by Jyske Bank A/S,Jyske Bank A/S,Shortselling (0)
597,11.12.19,21:45:58,(Historic) Melvin Capital Management LP holds a short position at 2.93 % in shares issued by Pandora A/S,Pandora A/S,Shortselling (0)
598,11.12.19,13:28:59,(Historic) WorldQuant LLC holds a short position at 0.61 % in shares issued by Zealand Pharma A/S,Zealand Pharma A/S,Shortselling (0)
599,11.12.19,12:35:49,Marshall Wace LLP  holds a short position at 0.69 % in shares issued by Novozymes A/S,Novozymes A/S,Shortselling (0)
600,16.12.19,13:57:22,Marshall Wace LLP  holds a short position at 1.36 % in shares issued by Pandora A/S,Pandora A/S,Shortselling (0)
601,16.12.19,13:53:36,Marshall Wace LLP  holds a short position at 0.78 % in shares issued by ISS A/S,ISS A/S,Shortselling (0)
602,13.12.19,22:04:58,(Historic) Melvin Capital Management LP holds a short position at 2.77 % in shares issued by Pandora A/S,Pandora A/S,Shortselling (0)
603,13.12.19,10:34:52,D1 Capital Partners LP holds a short position at 1.12 % in shares issued by Vestas Wind Systems A/S,Vestas Wind Systems A/S,Shortselling (0)
604,13.12.19,08:32:18,DNB Asset Management AS holds a short position at 1.33 % in shares issued by Netcompany Group,Netcompany Group,Shortselling (0)
605,12.12.19,22:16:27,(Historic) Melvin Capital Management LP holds a short position at 2.86 % in shares issued by Pandora A/S,Pandora A/S,Shortselling (0)
606,12.12.19,11:08:46,Citadel Advisors LLC holds a short position at 0.58 % in shares issued by Jyske Bank A/S,Jyske Bank A/S,Shortselling (0)
607,11.12.19,21:45:58,(Historic) Melvin Capital Management LP holds a short position at 2.93 % in shares issued by Pandora A/S,Pandora A/S,Shortselling (0)
608,11.12.19,13:28:59,(Historic) WorldQuant LLC holds a short position at 0.61 % in shares issued by Zealand Pharma A/S,Zealand Pharma A/S,Shortselling (0)
609,11.12.19,12:35:49,Marshall Wace LLP  holds a short position at 0.69 % in shares issued by Novozymes A/S,Novozymes A/S,Shortselling (0)
610,16.12.19,13:57:22,Marshall Wace LLP  holds a short position at 1.36 % in shares issued by Pandora A/S,Pandora A/S,Shortselling (0)
611,16.12.19,13:53:36,Marshall Wace LLP  holds a short position at 0.78 % in shares issued by ISS A/S,ISS A/S,Shortselling (0)
612,13.12.19,22:04:58,(Historic) Melvin Capital Management LP holds a short position at 2.77 % in shares issued by Pandora A/S,Pandora A/S,Shortselling (0)
613,13.12.19,10:34:52,D1 Capital Partners LP holds a short position at 1.12 % in shares issued by Vestas Wind Systems A/S,Vestas Wind Systems A/S,Shortselling (0)
